"Perioden";"Regio's";"Bevolking aan het begin van de periode (aantal)"
"2014";"Almere";"  196013"
"2015";"Almere";"  196932"
"2016";"Almere";"  198145"
"2017";"Almere";"  200914"
"2018";"Almere";"  203990"
"2019";"Almere";"  207904"
"2020";"Almere";"  211893"
"2021";"Almere";"  214715"
"2022";"Almere";"  217828"
"2023";"Almere";"  222825"
"2011";"Alphen aan den Rijn";"   72680"
"2012";"Alphen aan den Rijn";"   72853"
"2013";"Alphen aan den Rijn";"   72913"
"2014";"Alphen aan den Rijn";"  106785"
"2015";"Alphen aan den Rijn";"  107396"
"2016";"Alphen aan den Rijn";"  107960"
"2017";"Alphen aan den Rijn";"  108915"
"2018";"Alphen aan den Rijn";"  109682"
"2019";"Alphen aan den Rijn";"  110986"
"2020";"Alphen aan den Rijn";"  111897"
"2021";"Alphen aan den Rijn";"  112587"
"2022";"Alphen aan den Rijn";"  112926"
"2023";"Alphen aan den Rijn";"  114182"
"2011";"Alphen-Chaam";"    9466"
"2012";"Alphen-Chaam";"    9525"
"2013";"Alphen-Chaam";"    9640"
"2014";"Alphen-Chaam";"    9717"
"2015";"Alphen-Chaam";"    9753"
"2016";"Alphen-Chaam";"    9924"
"2017";"Alphen-Chaam";"   10058"
"2018";"Alphen-Chaam";"   10083"
"2019";"Alphen-Chaam";"   10149"
"2020";"Alphen-Chaam";"   10203"
"2021";"Alphen-Chaam";"   10373"
"2022";"Alphen-Chaam";"   10425"
"2023";"Alphen-Chaam";"   10463"
"2011";"Altena";""
"2012";"Altena";""
"2013";"Altena";""
"2014";"Altena";""
"2015";"Altena";""
"2016";"Altena";""
"2017";"Altena";""
"2018";"Altena";""
"2019";"Altena";"   55386"
"2020";"Altena";"   55967"
"2021";"Altena";"   56352"
"2022";"Altena";"   57009"
"2023";"Altena";"   57726"
"2011";"Ambt Montfort";""
"2012";"Ambt Montfort";""
"2013";"Ambt Montfort";""
"2014";"Ambt Montfort";""
"2015";"Ambt Montfort";""
"2016";"Ambt Montfort";""
"2017";"Ambt Montfort";""
"2018";"Ambt Montfort";""
"2019";"Ambt Montfort";""
"2020";"Ambt Montfort";""
"2021";"Ambt Montfort";""
"2022";"Ambt Montfort";""
"2023";"Ambt Montfort";""
"2011";"Ameland";"    3503"
"2012";"Ameland";"    3526"
"2013";"Ameland";"    3525"
"2014";"Ameland";"    3578"
"2015";"Ameland";"    3590"
"2016";"Ameland";"    3611"
"2017";"Ameland";"    3633"
"2018";"Ameland";"    3654"
"2019";"Ameland";"    3673"
"2020";"Ameland";"    3716"
"2021";"Ameland";"    3746"
"2022";"Ameland";"    3757"
"2023";"Ameland";"    3840"
"2011";"Amerongen";""
"2012";"Amerongen";""
"2013";"Amerongen";""
"2014";"Amerongen";""
"2015";"Amerongen";""
"2016";"Amerongen";""
"2017";"Amerongen";""
"2018";"Amerongen";""
"2019";"Amerongen";""
"2020";"Amerongen";""
"2021";"Amerongen";""
"2022";"Amerongen";""
"2023";"Amerongen";""
"2011";"Amersfoort";"  146592"
"2012";"Amersfoort";"  148250"
"2013";"Amersfoort";"  149662"
"2014";"Amersfoort";"  150897"
"2015";"Amersfoort";"  152481"
"2016";"Amersfoort";"  153602"
"2017";"Amersfoort";"  154337"
"2018";"Amersfoort";"  155226"
"2019";"Amersfoort";"  156286"
"2020";"Amersfoort";"  157276"
"2021";"Amersfoort";"  157462"
"2022";"Amersfoort";"  158590"
"2023";"Amersfoort";"  160759"
"2011";"Amstelveen";"   81796"
"2012";"Amstelveen";"   83363"
"2013";"Amstelveen";"   84379"
"2014";"Amstelveen";"   85015"
"2015";"Amstelveen";"   87162"
"2016";"Amstelveen";"   88602"
"2017";"Amstelveen";"   89294"
"2018";"Amstelveen";"   89870"
"2019";"Amstelveen";"   90838"
"2020";"Amstelveen";"   91675"
"2021";"Amstelveen";"   90829"
"2022";"Amstelveen";"   92331"
"2023";"Amstelveen";"   94418"
"2011";"Amsterdam";"  779808"
"2012";"Amsterdam";"  790110"
"2013";"Amsterdam";"  799278"
"2014";"Amsterdam";"  810937"
"2015";"Amsterdam";"  821752"
"2016";"Amsterdam";"  833624"
"2017";"Amsterdam";"  844947"
"2018";"Amsterdam";"  854047"
"2019";"Amsterdam";"  862965"
"2020";"Amsterdam";"  872757"
"2021";"Amsterdam";"  873338"
"2022";"Amsterdam";"  882633"
"2023";"Amsterdam";"  918117"
"2011";"Andijk";""
"2012";"Andijk";""
"2013";"Andijk";""
"2014";"Andijk";""
"2015";"Andijk";""
"2016";"Andijk";""
"2017";"Andijk";""
"2018";"Andijk";""
"2019";"Andijk";""
"2020";"Andijk";""
"2021";"Andijk";""
"2022";"Andijk";""
"2023";"Andijk";""
"2011";"Angerlo";""
"2012";"Angerlo";""
"2013";"Angerlo";""
"2014";"Angerlo";""
"2015";"Angerlo";""
"2016";"Angerlo";""
"2017";"Angerlo";""
"2018";"Angerlo";""
"2019";"Angerlo";""
"2020";"Angerlo";""
"2021";"Angerlo";""
"2022";"Angerlo";""
"2023";"Angerlo";""
"2011";"Anna Paulowna";"   14260"
"2012";"Anna Paulowna";""
"2013";"Anna Paulowna";""
"2014";"Anna Paulowna";""
"2015";"Anna Paulowna";""
"2016";"Anna Paulowna";""
"2017";"Anna Paulowna";""
"2018";"Anna Paulowna";""
"2019";"Anna Paulowna";""
"2020";"Anna Paulowna";""
"2021";"Anna Paulowna";""
"2022";"Anna Paulowna";""
"2023";"Anna Paulowna";""
"2011";"Apeldoorn";"  156199"
"2012";"Apeldoorn";"  156961"
"2013";"Apeldoorn";"  157315"
"2014";"Apeldoorn";"  157545"
"2015";"Apeldoorn";"  158099"
"2016";"Apeldoorn";"  159025"
"2017";"Apeldoorn";"  160047"
"2018";"Apeldoorn";"  161156"
"2019";"Apeldoorn";"  162445"
"2020";"Apeldoorn";"  163818"
"2021";"Apeldoorn";"  164781"
"2022";"Apeldoorn";"  165611"
"2023";"Apeldoorn";"  167191"
"2011";"Appingedam";"   12090"
"2012";"Appingedam";"   12053"
"2013";"Appingedam";"   12053"
"2014";"Appingedam";"   12064"
"2015";"Appingedam";"   12011"
"2016";"Appingedam";"   12001"
"2017";"Appingedam";"   11971"
"2018";"Appingedam";"   11801"
"2019";"Appingedam";"   11721"
"2020";"Appingedam";"   11642"
"2021";"Appingedam";""
"2022";"Appingedam";""
"2023";"Appingedam";""
"2011";"Arcen en Velden";""
"2012";"Arcen en Velden";""
"2013";"Arcen en Velden";""
"2014";"Arcen en Velden";""
"2015";"Arcen en Velden";""
"2016";"Arcen en Velden";""
"2017";"Arcen en Velden";""
"2018";"Arcen en Velden";""
"2019";"Arcen en Velden";""
"2020";"Arcen en Velden";""
"2021";"Arcen en Velden";""
"2022";"Arcen en Velden";""
"2023";"Arcen en Velden";""
"2011";"Arnhem";"  148070"
"2012";"Arnhem";"  149271"
"2013";"Arnhem";"  149827"
"2014";"Arnhem";"  150823"
"2015";"Arnhem";"  152293"
"2016";"Arnhem";"  153818"
"2017";"Arnhem";"  155699"
"2018";"Arnhem";"  157223"
"2019";"Arnhem";"  159265"
"2020";"Arnhem";"  161348"
"2021";"Arnhem";"  162424"
"2022";"Arnhem";"  163888"
"2023";"Arnhem";"  165770"
"2011";"Assen";"   67177"
"2012";"Assen";"   67208"
"2013";"Assen";"   67204"
"2014";"Assen";"   67190"
"2015";"Assen";"   67165"
"2016";"Assen";"   67061"
"2017";"Assen";"   67551"
"2018";"Assen";"   67708"
"2019";"Assen";"   67963"
"2020";"Assen";"   68599"
"2021";"Assen";"   68836"
"2022";"Assen";"   68979"
"2023";"Assen";"   69414"
"2011";"Asten";"   16296"
"2012";"Asten";"   16404"
"2013";"Asten";"   16392"
"2014";"Asten";"   16440"
"2015";"Asten";"   16559"
"2016";"Asten";"   16580"
"2017";"Asten";"   16714"
"2018";"Asten";"   16719"
"2019";"Asten";"   16710"
"2020";"Asten";"   16721"
"2021";"Asten";"   16817"
"2022";"Asten";"   17068"
"2023";"Asten";"   17242"
"2011";"Axel";""
"2012";"Axel";""
"2013";"Axel";""
"2014";"Axel";""
"2015";"Axel";""
"2016";"Axel";""
"2017";"Axel";""
"2018";"Axel";""
"2019";"Axel";""
"2020";"Axel";""
"2021";"Axel";""
"2022";"Axel";""
"2023";"Axel";""
"2011";"Baarle-Nassau";"    6704"
"2012";"Baarle-Nassau";"    6722"
"2013";"Baarle-Nassau";"    6699"
"2014";"Baarle-Nassau";"    6612"
"2015";"Baarle-Nassau";"    6599"
"2016";"Baarle-Nassau";"    6611"
"2017";"Baarle-Nassau";"    6657"
"2018";"Baarle-Nassau";"    6799"
"2019";"Baarle-Nassau";"    6847"
"2020";"Baarle-Nassau";"    6859"
"2021";"Baarle-Nassau";"    6899"
"2022";"Baarle-Nassau";"    6931"
"2023";"Baarle-Nassau";"    7071"
"2011";"Baarn";"   24379"
"2012";"Baarn";"   24352"
"2013";"Baarn";"   24277"
"2014";"Baarn";"   24314"
"2015";"Baarn";"   24406"
"2016";"Baarn";"   24521"
"2017";"Baarn";"   24529"
"2018";"Baarn";"   24630"
"2019";"Baarn";"   24767"
"2020";"Baarn";"   24868"
"2021";"Baarn";"   24792"
"2022";"Baarn";"   24876"
"2023";"Baarn";"   25008"
"2011";"Barendrecht";"   46831"
"2012";"Barendrecht";"   47053"
"2013";"Barendrecht";"   47371"
"2014";"Barendrecht";"   47377"
"2015";"Barendrecht";"   47521"
"2016";"Barendrecht";"   47861"
"2017";"Barendrecht";"   48344"
"2018";"Barendrecht";"   48477"
"2019";"Barendrecht";"   48673"
"2020";"Barendrecht";"   48714"
"2021";"Barendrecht";"   48643"
"2022";"Barendrecht";"   48714"
"2023";"Barendrecht";"   48812"
"2011";"Barneveld";"   53026"
"2012";"Barneveld";"   53521"
"2013";"Barneveld";"   53751"
"2014";"Barneveld";"   54152"
"2015";"Barneveld";"   54703"
"2016";"Barneveld";"   55441"
"2017";"Barneveld";"   56376"
"2018";"Barneveld";"   57339"
"2019";"Barneveld";"   57971"
"2020";"Barneveld";"   59082"
"2021";"Barneveld";"   59992"
"2022";"Barneveld";"   60584"
"2023";"Barneveld";"   61655"
"2011";"Bathmen";""
"2012";"Bathmen";""
"2013";"Bathmen";""
"2014";"Bathmen";""
"2015";"Bathmen";""
"2016";"Bathmen";""
"2017";"Bathmen";""
"2018";"Bathmen";""
"2019";"Bathmen";""
"2020";"Bathmen";""
"2021";"Bathmen";""
"2022";"Bathmen";""
"2023";"Bathmen";""
"2011";"Bedum";"   10495"
"2012";"Bedum";"   10508"
"2013";"Bedum";"   10553"
"2014";"Bedum";"   10494"
"2015";"Bedum";"   10441"
"2016";"Bedum";"   10433"
"2017";"Bedum";"   10479"
"2018";"Bedum";"   10475"
"2019";"Bedum";""
"2020";"Bedum";""
"2021";"Bedum";""
"2022";"Bedum";""
"2023";"Bedum";""
"2011";"Beek (L.)";"   16548"
"2012";"Beek (L.)";"   16457"
"2013";"Beek (L.)";"   16367"
"2014";"Beek (L.)";"   16271"
"2015";"Beek (L.)";"   16214"
"2016";"Beek (L.)";"   16068"
"2017";"Beek (L.)";"   15951"
"2018";"Beek (L.)";"   15895"
"2019";"Beek (L.)";"   15929"
"2020";"Beek (L.)";"   15865"
"2021";"Beek (L.)";"   15875"
"2022";"Beek (L.)";"   15817"
"2023";"Beek (L.)";"   16132"
"2011";"Beekdaelen";""
"2012";"Beekdaelen";""
"2013";"Beekdaelen";""
"2014";"Beekdaelen";""
"2015";"Beekdaelen";""
"2016";"Beekdaelen";""
"2017";"Beekdaelen";""
"2018";"Beekdaelen";""
"2019";"Beekdaelen";"   35727"
"2020";"Beekdaelen";"   35938"
"2021";"Beekdaelen";"   36065"
"2022";"Beekdaelen";"   35922"
"2023";"Beekdaelen";"   35966"
"2011";"Beemster";"    8573"
"2012";"Beemster";"    8719"
"2013";"Beemster";"    8785"
"2014";"Beemster";"    8910"
"2015";"Beemster";"    8903"
"2016";"Beemster";"    8958"
"2017";"Beemster";"    9205"
"2018";"Beemster";"    9550"
"2019";"Beemster";"    9748"
"2020";"Beemster";"   10022"
"2021";"Beemster";"   10110"
"2022";"Beemster";""
"2023";"Beemster";""
"2011";"Beesel";"   13844"
"2012";"Beesel";"   13742"
"2013";"Beesel";"   13688"
"2014";"Beesel";"   13617"
"2015";"Beesel";"   13511"
"2016";"Beesel";"   13388"
"2017";"Beesel";"   13405"
"2018";"Beesel";"   13444"
"2019";"Beesel";"   13519"
"2020";"Beesel";"   13482"
"2021";"Beesel";"   13450"
"2022";"Beesel";"   13408"
"2023";"Beesel";"   13449"
"2011";"Bellingwedde";"    9402"
"2012";"Bellingwedde";"    9283"
"2013";"Bellingwedde";"    8985"
"2014";"Bellingwedde";"    8920"
"2015";"Bellingwedde";"    9154"
"2016";"Bellingwedde";"    8971"
"2017";"Bellingwedde";"    8919"
"2018";"Bellingwedde";""
"2019";"Bellingwedde";""
"2020";"Bellingwedde";""
"2021";"Bellingwedde";""
"2022";"Bellingwedde";""
"2023";"Bellingwedde";""
"2011";"Bemmel";""
"2012";"Bemmel";""
"2013";"Bemmel";""
"2014";"Bemmel";""
"2015";"Bemmel";""
"2016";"Bemmel";""
"2017";"Bemmel";""
"2018";"Bemmel";""
"2019";"Bemmel";""
"2020";"Bemmel";""
"2021";"Bemmel";""
"2022";"Bemmel";""
"2023";"Bemmel";""
"2011";"Bennebroek";""
"2012";"Bennebroek";""
"2013";"Bennebroek";""
"2014";"Bennebroek";""
"2015";"Bennebroek";""
"2016";"Bennebroek";""
"2017";"Bennebroek";""
"2018";"Bennebroek";""
"2019";"Bennebroek";""
"2020";"Bennebroek";""
"2021";"Bennebroek";""
"2022";"Bennebroek";""
"2023";"Bennebroek";""
"2011";"Berg en Dal";""
"2012";"Berg en Dal";""
"2013";"Berg en Dal";""
"2014";"Berg en Dal";""
"2015";"Berg en Dal";""
"2016";"Berg en Dal";"   34574"
"2017";"Berg en Dal";"   34764"
"2018";"Berg en Dal";"   34748"
"2019";"Berg en Dal";"   34798"
"2020";"Berg en Dal";"   34992"
"2021";"Berg en Dal";"   35010"
"2022";"Berg en Dal";"   34951"
"2023";"Berg en Dal";"   35420"
"2011";"Bergambacht";"    9801"
"2012";"Bergambacht";"    9908"
"2013";"Bergambacht";"    9938"
"2014";"Bergambacht";"    9970"
"2015";"Bergambacht";""
"2016";"Bergambacht";""
"2017";"Bergambacht";""
"2018";"Bergambacht";""
"2019";"Bergambacht";""
"2020";"Bergambacht";""
"2021";"Bergambacht";""
"2022";"Bergambacht";""
"2023";"Bergambacht";""
"2011";"Bergeijk";"   18073"
"2012";"Bergeijk";"   18123"
"2013";"Bergeijk";"   18191"
"2014";"Bergeijk";"   18256"
"2015";"Bergeijk";"   18209"
"2016";"Bergeijk";"   18253"
"2017";"Bergeijk";"   18342"
"2018";"Bergeijk";"   18398"
"2019";"Bergeijk";"   18491"
"2020";"Bergeijk";"   18635"
"2021";"Bergeijk";"   18754"
"2022";"Bergeijk";"   18879"
"2023";"Bergeijk";"   19092"
"2011";"Bergen (L.)";"   13350"
"2012";"Bergen (L.)";"   13286"
"2013";"Bergen (L.)";"   13275"
"2014";"Bergen (L.)";"   13237"
"2015";"Bergen (L.)";"   13152"
"2016";"Bergen (L.)";"   13090"
"2017";"Bergen (L.)";"   13095"
"2018";"Bergen (L.)";"   13106"
"2019";"Bergen (L.)";"   13140"
"2020";"Bergen (L.)";"   13085"
"2021";"Bergen (L.)";"   13108"
"2022";"Bergen (L.)";"   13106"
"2023";"Bergen (L.)";"   13119"
"2011";"Bergen (NH.)";"   30868"
"2012";"Bergen (NH.)";"   30682"
"2013";"Bergen (NH.)";"   30333"
"2014";"Bergen (NH.)";"   30076"
"2015";"Bergen (NH.)";"   30005"
"2016";"Bergen (NH.)";"   29943"
"2017";"Bergen (NH.)";"   29844"
"2018";"Bergen (NH.)";"   29941"
"2019";"Bergen (NH.)";"   29974"
"2020";"Bergen (NH.)";"   29839"
"2021";"Bergen (NH.)";"   29715"
"2022";"Bergen (NH.)";"   29723"
"2023";"Bergen (NH.)";"   30138"
"2011";"Bergen op Zoom";"   66074"
"2012";"Bergen op Zoom";"   66130"
"2013";"Bergen op Zoom";"   66287"
"2014";"Bergen op Zoom";"   66419"
"2015";"Bergen op Zoom";"   66320"
"2016";"Bergen op Zoom";"   66237"
"2017";"Bergen op Zoom";"   66164"
"2018";"Bergen op Zoom";"   66354"
"2019";"Bergen op Zoom";"   66811"
"2020";"Bergen op Zoom";"   67496"
"2021";"Bergen op Zoom";"   67514"
"2022";"Bergen op Zoom";"   67894"
"2023";"Bergen op Zoom";"   68864"
"2011";"Bergh";""
"2012";"Bergh";""
"2013";"Bergh";""
"2014";"Bergh";""
"2015";"Bergh";""
"2016";"Bergh";""
"2017";"Bergh";""
"2018";"Bergh";""
"2019";"Bergh";""
"2020";"Bergh";""
"2021";"Bergh";""
"2022";"Bergh";""
"2023";"Bergh";""
"2011";"Bergschenhoek";""
"2012";"Bergschenhoek";""
"2013";"Bergschenhoek";""
"2014";"Bergschenhoek";""
"2015";"Bergschenhoek";""
"2016";"Bergschenhoek";""
"2017";"Bergschenhoek";""
"2018";"Bergschenhoek";""
"2019";"Bergschenhoek";""
"2020";"Bergschenhoek";""
"2021";"Bergschenhoek";""
"2022";"Bergschenhoek";""
"2023";"Bergschenhoek";""
"2011";"Berkel en Rodenrijs";""
"2012";"Berkel en Rodenrijs";""
"2013";"Berkel en Rodenrijs";""
"2014";"Berkel en Rodenrijs";""
"2015";"Berkel en Rodenrijs";""
"2016";"Berkel en Rodenrijs";""
"2017";"Berkel en Rodenrijs";""
"2018";"Berkel en Rodenrijs";""
"2019";"Berkel en Rodenrijs";""
"2020";"Berkel en Rodenrijs";""
"2021";"Berkel en Rodenrijs";""
"2022";"Berkel en Rodenrijs";""
"2023";"Berkel en Rodenrijs";""
"2011";"Berkelland";"   44863"
"2012";"Berkelland";"   44911"
"2013";"Berkelland";"   44769"
"2014";"Berkelland";"   44666"
"2015";"Berkelland";"   44364"
"2016";"Berkelland";"   44437"
"2017";"Berkelland";"   44238"
"2018";"Berkelland";"   44032"
"2019";"Berkelland";"   43904"
"2020";"Berkelland";"   43747"
"2021";"Berkelland";"   43846"
"2022";"Berkelland";"   43850"
"2023";"Berkelland";"   44022"
"2011";"Bernheze";"   29728"
"2012";"Bernheze";"   29802"
"2013";"Bernheze";"   29775"
"2014";"Bernheze";"   29690"
"2015";"Bernheze";"   29729"
"2016";"Bernheze";"   29880"
"2017";"Bernheze";"   30252"
"2018";"Bernheze";"   30550"
"2019";"Bernheze";"   30806"
"2020";"Bernheze";"   31240"
"2021";"Bernheze";"   31455"
"2022";"Bernheze";"   31715"
"2023";"Bernheze";"   32263"
"2011";"Bernisse";"   12404"
"2012";"Bernisse";"   12426"
"2013";"Bernisse";"   12398"
"2014";"Bernisse";"   12368"
"2015";"Bernisse";""
"2016";"Bernisse";""
"2017";"Bernisse";""
"2018";"Bernisse";""
"2019";"Bernisse";""
"2020";"Bernisse";""
"2021";"Bernisse";""
"2022";"Bernisse";""
"2023";"Bernisse";""
"2011";"Best";"   28810"
"2012";"Best";"   28696"
"2013";"Best";"   28637"
"2014";"Best";"   28617"
"2015";"Best";"   28737"
"2016";"Best";"   28976"
"2017";"Best";"   29180"
"2018";"Best";"   29497"
"2019";"Best";"   29821"
"2020";"Best";"   29988"
"2021";"Best";"   30216"
"2022";"Best";"   30608"
"2023";"Best";"   30897"
"2011";"Beuningen";"   25507"
"2012";"Beuningen";"   25433"
"2013";"Beuningen";"   25324"
"2014";"Beuningen";"   25288"
"2015";"Beuningen";"   25282"
"2016";"Beuningen";"   25289"
"2017";"Beuningen";"   25424"
"2018";"Beuningen";"   25798"
"2019";"Beuningen";"   25882"
"2020";"Beuningen";"   25890"
"2021";"Beuningen";"   26157"
"2022";"Beuningen";"   26235"
"2023";"Beuningen";"   26573"
"2011";"Beverwijk";"   39329"
"2012";"Beverwijk";"   39844"
"2013";"Beverwijk";"   40070"
"2014";"Beverwijk";"   40093"
"2015";"Beverwijk";"   40182"
"2016";"Beverwijk";"   40318"
"2017";"Beverwijk";"   40709"
"2018";"Beverwijk";"   41077"
"2019";"Beverwijk";"   41176"
"2020";"Beverwijk";"   41626"
"2021";"Beverwijk";"   41863"
"2022";"Beverwijk";"   42084"
"2023";"Beverwijk";"   42711"
"2011";"het Bildt";"   10937"
"2012";"het Bildt";"   10798"
"2013";"het Bildt";"   10646"
"2014";"het Bildt";"   10626"
"2015";"het Bildt";"   10592"
"2016";"het Bildt";"   10525"
"2017";"het Bildt";"   10493"
"2018";"het Bildt";""
"2019";"het Bildt";""
"2020";"het Bildt";""
"2021";"het Bildt";""
"2022";"het Bildt";""
"2023";"het Bildt";""
"2011";"De Bilt";"   42049"
"2012";"De Bilt";"   42079"
"2013";"De Bilt";"   42032"
"2014";"De Bilt";"   42036"
"2015";"De Bilt";"   42169"
"2016";"De Bilt";"   42375"
"2017";"De Bilt";"   42754"
"2018";"De Bilt";"   42846"
"2019";"De Bilt";"   42824"
"2020";"De Bilt";"   43137"
"2021";"De Bilt";"   43384"
"2022";"De Bilt";"   43508"
"2023";"De Bilt";"   43884"
"2011";"Binnenmaas";"   28967"
"2012";"Binnenmaas";"   28962"
"2013";"Binnenmaas";"   28964"
"2014";"Binnenmaas";"   28710"
"2015";"Binnenmaas";"   28656"
"2016";"Binnenmaas";"   28771"
"2017";"Binnenmaas";"   29122"
"2018";"Binnenmaas";"   29098"
"2019";"Binnenmaas";""
"2020";"Binnenmaas";""
"2021";"Binnenmaas";""
"2022";"Binnenmaas";""
"2023";"Binnenmaas";""
"2011";"Bladel";"   19386"
"2012";"Bladel";"   19582"
"2013";"Bladel";"   19635"
"2014";"Bladel";"   19834"
"2015";"Bladel";"   19869"
"2016";"Bladel";"   19966"
"2017";"Bladel";"   20063"
"2018";"Bladel";"   20144"
"2019";"Bladel";"   20175"
"2020";"Bladel";"   20390"
"2021";"Bladel";"   20529"
