Perioden;Regio's;Totale oppervlakte (ha);Agrarisch terrein/Totaal agrarisch terrein (ha)
2017;Bunnik;3757;2824
2017;Bunschoten;3481;2427
2017;Buren;14292;11462
2017;Bussum;;
2017;Capelle aan den IJssel;1540;75
2017;Castricum;6040;2299
2017;Chaam;;
2017;Coevorden;29969;22974
2017;Cranendonck;7805;3723
2017;Cromstrijen;7033;4589
2017;Cuijk;5707;3619
2017;Culemborg;3114;1807
2017;Dalen;;
2017;Dalfsen;16652;13397
2017;Dantumadeel;;
2017;Dantumadiel;8753;6991
2017;Delft;2406;209
2017;Delfzijl;22750;10403
2017;Denekamp;;
2017;Deurne;11836;7474
2017;Deventer;13433;8502
2017;Didam;;
2017;Diemen;1404;233
2017;Diepenheim;;
2017;Diepenveen;;
2017;Diessen;;
2017;Diever;;
2017;Dinkelland;17683;14278
2017;Dinteloord en Prinsenland;;
2017;Dinxperlo;;
2017;Dirksland;;
2017;Dodewaard;;
2017;Doesburg;1296;737
2017;Doetinchem;7966;4957
2017;Domburg;;
2017;Dongen;2974;1997
2017;Noardeast-Fryslân;52000;30500
2017;Doorn;;
2017;Dordrecht;9947;2778
2017;Drechterland;8059;5069
2017;Driebergen-Rijsenburg;;
2017;Drimmelen;11943;6691
2017;Dronten;42389;26418
2017;Drunen;;
2017;Druten;4246;2754
2017;Duiveland;;
2017;Duiven;3519;2304
2017;Dussen;;
2017;Dwingeloo;;
2017;Echt;;
2017;Echteld;;
2017;Echt-Susteren;10462;7047
2017;Edam-Volendam;8000;4391
2017;Ede;31862;10804
2017;Eelde;;
2017;Eemnes;3370;2536
2017;Eemsmond;54335;15331
2017;Eersel;8333;4995
2017;Egmond;;
2017;Eibergen;;
2017;Eijsden;;
2017;Eijsden-Margraten;7841;6060
2017;Eindhoven;8892;1268
2017;Elburg;6591;2948
2017;Elst;;
2017;Emmen;34626;23460
2017;Enkhuizen;11625;684
2017;Enschede;14272;6837
2017;Epe;15737;6820
2017;Ermelo;8733;1985
2017;Etten-Leur;5592;3798
2017;Ferwerderadeel;;
2017;Ferwerderadiel;13318;7957
2017;Fijnaart en Heijningen;;
2017;Waadhoeke;29500;23000
2017;De Friese Meren;;
2017;De Fryske Marren;54910;29177
2017;Gaasterlân-Sleat;;
2017;Gasselte;;
2017;Geertruidenberg;2964;1598
2017;West Betuwe;23000;17000
2017;Geldrop;;
2017;Geldrop-Mierlo;3139;1039
2017;Geleen;;
2017;Gemert;;
2017;Gemert-Bakel;12334;7770
2017;Gendringen;;
2017;Gendt;;
2017;Genemuiden;;
2017;Gennep;5042;3175
2017;Giessenlanden;6511;5629
2017;Gieten;;
2017;Gilze en Rijen;6566;3655
2017;Goedereede;;
2017;Goeree-Overflakkee;42235;18033
2017;Goes;10192;6933
2017;Goirle;4235;2381
2017;Gooise Meren;7522;1312
2017;Goor;;
2017;Gorinchem;2193;711
2017;Gorssel;;
2017;Gouda;1811;298
2017;Graafstroom;;
2017;Graft-De Rijp;;
2017;Gramsbergen;;
2017;Grave;2803;2030
2017;'s-Graveland;;
2017;'s-Gravendeel;;
2017;'s-Gravenhage (gemeente);9813;177
2017;'s-Gravenmoer;;
2017;'s-Gravenzande;;
2017;Groenlo;;
2017;Groesbeek;;
2017;Groningen (gemeente);10150;4001
2017;Westerkwartier;35000;30000
2017;Grubbenvorst;;
2017;Gulpen;;
2017;Gulpen-Wittem;7336;5842
2017;Haaksbergen;10550;7119
2017;Haaren;5856;4133
2017;Haarlem;3209;409
2017;Haarlemmerliede en Spaarnwoude;2119;1129
2017;Haarlemmermeer;18513;10385
2017;Haelen;;
2017;Halderberge;7521;5776
2017;Halsteren;;
2017;Den Ham;;
2017;Hardenberg;31715;25473
2017;Harderwijk;4827;841
2017;Hardinxveld-Giessendam;1935;1078
2017;Haren;5073;2693
2017;Harenkarspel;;
2017;Harlingen;38767;1664
2017;Harmelen;;
2017;Hasselt;;
2017;Hattem;2416;1249
2017;Havelte;;
2017;Hedel;;
2017;Heel;;
2017;Heemskerk;3168;667
2017;Heemstede;964;150
2017;Heerde;8042;3961
2017;Heerenveen;19817;14616
2017;Heerewaarden;;
2017;Heerhugowaard;3999;2023
2017;Heerjansdam;;
2017;Heerlen;4553;781
2017;Heeze;;
2017;Heeze-Leende;10504;4436
2017;Heiloo;1901;955
2017;Heino;;
2017;Helden;;
2017;Den Helder;17880;1720
2017;Hellendoorn;13899;8158
2017;Hellevoetsluis;4627;1844
2017;Helmond;5475;1493
2017;Hendrik-Ido-Ambacht;1190;235
2017;Hengelo (Gld.);;
2017;Hengelo (O.);6183;2527
2017;'s-Hertogenbosch;11807;5463
2017;Heteren;;
2017;Heumen;4154;2325
2017;Heusden;8122;4608
2017;Heythuysen;;
2017;Hillegom;1347;746
2017;Hilvarenbeek;9651;5658
2017;Hilversum;4635;581
2017;Hoevelaken;;
2017;Hoeven;;
2017;Hof van Twente;21541;15686
2017;Hollands Kroon;66220;31664
2017;Holten;;
2017;Hontenisse;;
2017;Hooge en Lage Mierde;;
2017;Hooge en Lage Zwaluwe;;
2017;Hoogeloon, Hapert en Casteren;;
2017;Hoogeveen;12925;8771
2017;Midden-Groningen;29000;24500
2017;Hoorn;5346;234
2017;Horst;;
2017;Horst aan de Maas;19192;13084
2017;Houten;5899;3876
2017;Huijbergen;;
2017;Huissen;;
2017;Huizen;2332;109
2017;Hulst;25182;15419
2017;Hummelo en Keppel;;
2017;Hunsel;;
2017;IJsselham;;
2017;IJsselmuiden;;
2017;IJsselstein;2168;1313
2017;Jacobswoude;;
2017;Kaag en Braassem;7224;5380
2017;Kampen;16179;11265
2017;Kapelle;4963;2776
2017;Katwijk;3115;618
2017;Kerkrade;2215;370
2017;Kerkwijk;;
2017;Kessel;;
2017;Kesteren;;
2017;Klundert;;
2017;Koggenland;8408;6946
2017;Kollumerland en Nieuwkruisland;11635;8560
2017;Korendijk;10047;5978
2017;Krimpen aan den IJssel;895;41
2017;Krimpenerwaard;16131;12832
2017;Laarbeek;5617;3844
2017;Landerd;7071;4499
2017;Landgraaf;2467;744
2017;Landsmeer;2650;1515
2017;Langedijk;2703;1240
2017;Lansingerland;5637;2946
2017;Laren (NH.);1241;46
2017;Leek;6428;5123
2017;Leende;;
2017;Vijfheerenlanden;16500;11500
2017;Leersum;;
2017;Leeuwarden;17023;10209
2017;Leeuwarderadeel;4146;3573
2017;Leiden;2327;216
2017;Leiderdorp;1228;521
2017;Leidschendam;;
2017;Leidschendam-Voorburg;3562;1692
2017;Lelystad;76545;11325
2017;Lemsterland;;
2017;Leudal;16491;11290
2017;Leusden;5889;2799
2017;Lichtenvoorde;;
2017;Liemeer;;
2017;Lienden;;
2017;De Lier;;
2017;Lieshout;;
2017;Liesveld;;
2017;Limmen;;
2017;Lingewaal;5449;3931
2017;Lingewaard;6914;4545
2017;Lisse;1605;820
2017;Lith;;
2017;Littenseradiel;13264;12420
2017;Lochem;21594;15917
2017;Loenen;;
2017;Loon op Zand;5071;2223
2017;Loosdrecht;;
2017;Lopik;7898;6937
2017;Loppersum;11199;10355
2017;Losser;9962;7124
2017;Luyksgestel;;
2017;Maarheeze;;
2017;Maarn;;
2017;Maarssen;;
2017;Maartensdijk;;
2017;Maasbracht;;
2017;Maasbree;;
2017;Maasdonk;;
2017;Maasdriel;7546;5267
2017;Maasgouw;5812;2381
2017;Maasland;;
2017;Maassluis;1012;163
2017;Maastricht;6013;1918
2017;Made;;
2017;Made en Drimmelen;;
2017;Margraten;;
2017;Mariekerke;;
2017;Markelo;;
2017;De Marne;24033;12135
2017;Marum;6489;5657
2017;Maurik;;
2017;Medemblik;25756;9899
2017;Meerlo-Wanssum;;
2017;Meerssen;2770;1610
2017;Meierijstad;18552;13184
2017;Meijel;;
2017;Menaldumadeel;;
2017;Menameradiel;7003;6080
2017;Menterwolde;8162;6747
2017;Meppel;5703;3957
2017;Middelburg (Z.);5304;2840
2017;Middelharnis;;
2017;Midden-Delfland;4938;3797
2017;Midden-Drenthe;34587;25052
2017;Middenschouwen;;
2017;Middenveld;;
2017;Mierlo;;
2017;Mill en Sint Hubert;5317;3814
2017;Millingen aan de Rijn;;
2017;Moerdijk;18403;11624
2017;Moergestel;;
2017;Molenlanden;19000;16000
2017;Monster;;
2017;Montferland;10664;7341
2017;Montfoort;3820;3288
2017;Mook en Middelaar;1881;703
2017;Moordrecht;;
2017;Muiden;;
2017;Naaldwijk;;
2017;Naarden;;
2017;Neder-Betuwe;6746;4746
2017;Nederhorst den Berg;;
2017;Nederlek;;
2017;Nederweert;10178;7314
2017;Neede;;
2017;Neerijnen;7290;5533
2017;Niedorp;;
2017;Nieuwegein;2565;281
2017;Nieuwerkerk aan den IJssel;;
2017;Nieuw-Ginneken;;
2017;Nieuwkoop;9116;6065
2017;Nieuw-Lekkerland;;
2017;Nieuwleusen;;
2017;Nieuw-Vossemeer;;
2017;Nijefurd;;
2017;Nijeveen;;
2017;Nijkerk;7204;4872
2017;Nijmegen;5760;859
2017;Nissewaard;9873;5472
2017;Noord-Beveland;12158;6966
2017;Noordenveld;20529;13000
2017;Noorder-Koggenland;;
2017;Noordoostpolder;59542;40315
2017;Noordwijk;5152;796
2017;Noordwijkerhout;2342;1436
2017;Nootdorp;;
2017;Norg;;
2017;Nuenen, Gerwen en Nederwetten;3394;1919
2017;Nunspeet;12953;2963
2017;Nuth;3313;2543
2017;Obdam;;
2017;Odoorn;;
2017;Oegstgeest;797;110
2017;Oirschot;10284;5777
2017;Oisterwijk;6513;3563
2017;Oldambt;29596;18332
2017;Oldebroek;9884;5744
2017;Oldenzaal;2195;696
2017;Olst;;
2017;Olst-Wijhe;11837;9633
2017;Ommen;18201;11319
2017;Beekdaelen;8000;5500
2017;Oost Gelre;11012;8940
2017;Oost-, West- en Middelbeers;;
2017;Oostburg;;
2017;Oosterhesselen;;
2017;Oosterhout;7309;3313
2017;Oostflakkee;;
2017;Ooststellingwerf;22611;16277
2017;Oostzaan;1608;512
2017;Ootmarsum;;
2017;Opmeer;4194;3638
2017;Opsterland;22764;17771
2017;Oss;17093;11618
2017;Ossendrecht;;
2017;Oud en Nieuw Gastel;;
2017;Hoeksche Waard;30000;20000
2017;Oude IJsselstreek;13795;11206
2017;Oudenbosch;;
2017;Ouder-Amstel;2578;1580
2017;Ouderkerk;;
2017;Oudewater;4010;3578
2017;Overbetuwe;11508;8505
2017;Papendrecht;1079;135
2017;Peel en Maas;16135;11227
2017;Peize;;
2017;Pekela;5020;4034
2017;Pijnacker;;
2017;Pijnacker-Nootdorp;3862;2141
2017;Prinsenbeek;;
2017;Purmerend;2456;260
2017;Putte;;
2017;Putten;8750;4692
2017;Raalte;17229;13952
2017;Raamsdonk;;
2017;Ravenstein;;
2017;Reeuwijk;;
2017;Reiderland;;
2017;Reimerswaal;24242;7484
2017;Renkum;4723;1530
2017;Renswoude;1851;1498
2017;Reusel;;
2017;Reusel-De Mierden;7866;4825
2017;Rheden;8435;2477
2017;Rhenen;4376;2180
2017;Ridderkerk;2526;838
2017;Riethoven;;
2017;Rijnsburg;;
2017;Rijnwaarden;4811;3020
2017;Rijnwoude;;
2017;Rijsbergen;;
2017;Rijssen;;
2017;Rijssen-Holten;9438;5343
2017;Rijswijk (ZH.);1449;81
2017;Roden;;
2017;Roerdalen;8879;4919
2017;Roermond;7105;2782
2017;Roggel en Neer;;
2017;Rolde;;
2017;De Ronde Venen;11698;8041
2017;Roosendaal;10716;7124
2017;Roosendaal en Nispen;;
2017;Rossum;;
2017;Rotterdam;32416;2320
2017;Rozenburg;;
2017;Rozendaal;2792;61
2017;Rucphen;6448;4212
2017;Ruinen;;
2017;Ruinerwold;;
2017;Ruurlo;;
2017;Sas van Gent;;
2017;Sassenheim;;
2017;Schagen;18728;13209
2017;Scheemda;;
2017;Schermer;;
2017;Scherpenzeel;1381;926
2017;Schiedam;1986;276
2017;Schiermonnikoog;19907;306
2017;Schijndel;;
2017;Schinnen;2412;1687
2017;Schipluiden;;
2017;Schoonebeek;;
2017;Schoonhoven;;
2017;Schoorl;;
2017;Schouwen-Duiveland;48821;15401
2017;Sevenum;;
2017;Simpelveld;1603;1197
2017;Sint Anthonis;9976;7721
2017;Sint-Michielsgestel;5934;4386
2017;Sint-Oedenrode;;
2017;Sittard;;
2017;Sittard-Geleen;8058;3038
2017;Skarsterlân;;
2017;Sleen;;
2017;Sliedrecht;1401;648
2017;Slochteren;14115;11056
2017;Sluis;30716;24572
2017;Sluis-Aardenburg;;
2017;Smallingerland;12617;8789
2017;Smilde;;
2017;Sneek;;
2017;Soest;4643;1258
2017;Someren;8150;5422
2017;Son en Breugel;2651;1179
2017;Spijkenisse;;
2017;Sprang-Capelle;;
2017;Stad Delden;;
2017;Stadskanaal;11994;9309
2017;Standdaarbuiten;;
2017;Staphorst;13569;11140
2017;Stede Broec;1637;717
2017;Steenbergen;15914;12494
2017;Steenderen;;
2017;Steenwijk;;
2017;Steenwijkerland;32159;19039
2017;Stein (L.);2280;905
2017;Stichtse Vecht;10682;7039
2017;Stramproy;;
2017;Strijen;5770;4293
2017;Súdwest-Fryslân;83871;39341
2017;Susteren;;
2017;Swalmen;;
2017;Tegelen;;
2017;Terheijden;;
2017;Terneuzen;31776;19692
2017;Terschelling;67399;1364
2017;Teteringen;;
2017;Texel;46316;9995
2017;Teylingen;3349;1737
2017;Tholen;25400;11977
2017;Thorn;;
2017;Tiel;3551;1755
2017;Tilburg;11915;3846
2017;Tubbergen;14744;12583
2017;Twenterand;10814;7929
2017;Tynaarlo;14770;10779
2017;Tytsjerksteradiel;16141;12017
2017;Ubbergen;;
2017;Uden;6753;4058
2017;Udenhout;;
2017;Uitgeest;2229;1469
2017;Uithoorn;1942;1011
2017;Urk;10991;407
2017;Utrecht (gemeente);9921;2417
2017;Utrechtse Heuvelrug;13394;4840
2017;Vaals;2390;1465
2017;Valburg;;
2017;Valkenburg (ZH.);;
2017;Valkenburg aan de Geul;3692;2421
2017;Valkenisse;;
2017;Valkenswaard;5650;2469
2017;Veendam;7868;5700
2017;Veenendaal;1972;379
2017;Veere;20655;9409
2017;Veghel;;
2017;Veldhoven;3189;1180
2017;Velsen;6317;332
2017;Venhuizen;;
2017;Venlo;12899;4751
2017;Venray;16500;10884
2017;Vessem, Wintelre en Knegsel;;
2017;Vianen;4239;2614
2017;Vierlingsbeek;;
2017;Vlaardingen;2669;408
2017;Westerwolde;28000;23500
2017;Vledder;;
2017;Vleuten-De Meern;;
2017;Vlieland;31580;13
2017;Vlijmen;;
2017;Vlissingen;34484;1232
2017;Vlist;;
2017;Voerendaal;3152;2531
2017;Voorburg;;
2017;Voorhout;;
2017;Voorschoten;1156;449
2017;Voorst;12647;9930
2017;Vorden;;
2017;Vries;;
2017;Vriezenveen;;
2017;Vught;3444;1553
2017;Waalre;2266;851
2017;Waalwijk;6765;4252
2017;Waddinxveen;2940;1727
2017;Wageningen;3236;1510
2017;Warmond;;
2017;Warnsveld;;
2017;Waspik;;
2017;Wassenaar;6240;1200
2017;Wateringen;;
2017;Waterland;11566;4494
2017;Weerselo;;
2017;Weert;10554;5671
2017;Weesp;2416;1678
2017;Wehl;;
2017;Werkendam;12176;7176
2017;Wervershoof;;
2017;West Maas en Waal;8521;6197
2017;Westerbork;;
2017;Westerhoven;;
2017;Wester-Koggenland;;
2017;Westerschouwen;;
2017;Westerveld;28274;15581
2017;Westervoort;784;290
2017;Westkapelle;;
2017;Westland;9074;4819
2017;Weststellingwerf;22845;18224
2017;Westvoorne;9748;2891
2017;Wierden;9539;7289
2017;Wieringen;;
2017;Wieringermeer;;
2017;Wijchen;6956;4381
2017;Wijdemeren;7636;2656
2017;Wijhe;;
2017;De Wijk;;
2017;Wijk bij Duurstede;5040;3672
2017;Willemstad;;
2017;Winschoten;;
2017;Het Hogeland;92000;40000
2017;Winterswijk;13882;10389
2017;Wisch;;
2017;Wittem;;
2017;Woensdrecht;9197;4197
2017;Woerden;9292;7176
2017;Wognum;;
2017;De Wolden;22635;18502
2017;Wormerland;4518;3227
2017;Woudenberg;3682;2252
2017;Woudrichem;5170;4023
2017;Wouw;;
2017;Wûnseradiel;;
2017;Wymbritseradiel;;
2017;Zaanstad;8324;3594
2017;Zaltbommel;8904;5947
2017;Zandvoort;4397;11
2017;Zederik;7650;6446
2017;Zeevang;;
2017;Zeewolde;26886;17308
2017;Zeist;4865;591
2017;Zelhem;;
2017;Zevenaar;5800;3768
2017;Zevenbergen;;
2017;Zevenhuizen-Moerkapelle;;
2017;Zierikzee;;
2017;Zijpe;;
2017;Zoetermeer;3705;701
2017;Zoeterwoude;2196;1750
2017;Zuidhorn;12837;11380
2017;Zuidlaren;;
2017;Zuidplas;6405;4104
2017;Zuidwolde;;
2017;Zundert;12121;9536
2017;Zutphen;4293;1944
2017;Zwartewaterland;8786;6765
2017;Zwartsluis;;
2017;Zweeloo;;
2017;Zwijndrecht;2277;542
2017;Zwolle;11936;6607
