"Regio's";"Perioden";"Gemiddelde verkoopprijs (euro)"
"Dordrecht";"2021";"  299241"
"Drechterland";"2021";"  390248"
"Driebergen-Rijsenburg";"2021";""
"Drimmelen";"2021";"  372230"
"Dronten";"2021";"  328945"
"Drunen";"2021";""
"Druten";"2021";"  368074"
"Duiveland";"2021";""
"Duiven";"2021";"  356087"
"Den Dungen";"2021";""
"Dussen";"2021";""
"Dwingeloo";"2021";""
"Echt";"2021";""
"Echteld";"2021";""
"Echt-Susteren";"2021";"  286426"
"Edam-Volendam";"2021";"  357430"
"Ede";"2021";"  392419"
"Eelde";"2021";""
"Eemnes";"2021";"  504938"
"Eemsdelta";"2021";"  223055"
"Eemsmond";"2021";""
"Eersel";"2021";"  470135"
"Egmond";"2021";""
"Eibergen";"2021";""
"Eijsden";"2021";""
"Eijsden-Margraten";"2021";"  386121"
"Eindhoven";"2021";"  367046"
"Elburg";"2021";"  348909"
"Elst";"2021";""
"Emmen";"2021";"  262002"
"Enkhuizen";"2021";"  326901"
"Enschede";"2021";"  293302"
"Epe";"2021";"  463628"
"Ermelo";"2021";"  424209"
"Esch";"2021";""
"Etten-Leur";"2021";"  364881"
"Ferwerderadeel";"2021";""
"Ferwerderadiel";"2021";""
"Fijnaart en Heijningen";"2021";""
"Franekeradeel";"2021";""
"De Friese Meren";"2021";""
"De Fryske Marren";"2021";"  344437"
"Gaasterlân-Sleat";"2021";""
"Gasselte";"2021";""
"Geertruidenberg";"2021";"  352304"
"Geldermalsen";"2021";""
"Geldrop";"2021";""
"Geldrop-Mierlo";"2021";"  371329"
"Geleen";"2021";""
"Gemert";"2021";""
"Gemert-Bakel";"2021";"  397333"
"Gendringen";"2021";""
"Gendt";"2021";""
"Genemuiden";"2021";""
"Gennep";"2021";"  333719"
"Giessenlanden";"2021";""
"Gieten";"2021";""
"Gilze en Rijen";"2021";"  357378"
"Goedereede";"2021";""
"Goeree-Overflakkee";"2021";"  344018"
"Goes";"2021";"  319274"
"Goirle";"2021";"  447211"
"Gooise Meren";"2021";"  647094"
"Goor";"2021";""
"Gorinchem";"2021";"  378024"
"Gorssel";"2021";""
"Gouda";"2021";"  327961"
"Graafstroom";"2021";""
"Graft-De Rijp";"2021";""
"Gramsbergen";"2021";""
"Grave";"2021";"  329522"
"'s-Graveland";"2021";""
"'s-Gravendeel";"2021";""
"'s-Gravenhage (gemeente)";"2021";"  411717"
"'s-Gravenmoer";"2021";""
"'s-Gravenzande";"2021";""
"Groenlo";"2021";""
"Groesbeek";"2021";""
"Groningen (gemeente)";"2021";"  321804"
"Grootegast";"2021";""
"Grubbenvorst";"2021";""
"Gulpen";"2021";""
"Gulpen-Wittem";"2021";"  354940"
"Haaksbergen";"2021";"  363530"
"Haaren";"2021";""
"Haarlem";"2021";"  507862"
"Haarlemmerliede en Spaarnwoude";"2021";""
"Haarlemmermeer";"2021";"  470338"
"Haelen";"2021";""
"Halderberge";"2021";"  353175"
"Halsteren";"2021";""
"Den Ham";"2021";""
"Hardenberg";"2021";"  303203"
"Harderwijk";"2021";"  369508"
"Hardinxveld-Giessendam";"2021";"  326786"
"Haren";"2021";""
"Harenkarspel";"2021";""
"Harlingen";"2021";"  272258"
"Harmelen";"2021";""
"Hasselt";"2021";""
"Hattem";"2021";"  437348"
"Havelte";"2021";""
"Hedel";"2021";""
"Heel";"2021";""
"Heemskerk";"2021";"  404142"
"Heemstede";"2021";"  694937"
"Heerde";"2021";"  404432"
"Heerenveen";"2021";"  317736"
"Heerewaarden";"2021";""
"Heerhugowaard";"2021";"  323983"
"Heerjansdam";"2021";""
"Heerlen";"2021";"  230616"
"Heesch";"2021";""
"Heeze";"2021";""
"Heeze-Leende";"2021";"  433505"
"Heiloo";"2021";"  558472"
"Heino";"2021";""
"Helden";"2021";""
"Den Helder";"2021";"  225902"
"Hellendoorn";"2021";"  334791"
"Hellevoetsluis";"2021";"  306338"
"Helmond";"2021";"  339835"
"Helvoirt";"2021";""
"Hendrik-Ido-Ambacht";"2021";"  380186"
"Hengelo (Gld.)";"2021";""
"Hengelo (O.)";"2021";"  289151"
"'s-Hertogenbosch";"2021";"  412222"
"Heteren";"2021";""
"Heumen";"2021";"  403251"
"Heusden";"2021";"  411890"
"Heythuysen";"2021";""
"Hillegom";"2021";"  392555"
"Hilvarenbeek";"2021";"  474617"
"Hilversum";"2021";"  521263"
"Hoeksche Waard";"2021";"  364756"
"Hoevelaken";"2021";""
"Hoeven";"2021";""
"Hof van Twente";"2021";"  354722"
"Het Hogeland";"2021";"  251832"
"Hollands Kroon";"2021";"  302564"
"Holten";"2021";""
"Hontenisse";"2021";""
"Hooge en Lage Mierde";"2021";""
"Hooge en Lage Zwaluwe";"2021";""
"Hoogeloon, Hapert en Casteren";"2021";""
"Hoogeveen";"2021";"  272291"
"Hoogezand-Sappemeer";"2021";""
"Hoorn";"2021";"  351708"
"Horst";"2021";""
"Horst aan de Maas";"2021";"  327659"
"Houten";"2021";"  502688"
"Huijbergen";"2021";""
"Huissen";"2021";""
"Huizen";"2021";"  536037"
"Hulst";"2021";"  271034"
"Hummelo en Keppel";"2021";""
"Hunsel";"2021";""
"IJsselham";"2021";""
"IJsselmuiden";"2021";""
"IJsselstein";"2021";"  413115"
"Jacobswoude";"2021";""
"Kaag en Braassem";"2021";"  441190"
"Kampen";"2021";"  310676"
"Kapelle";"2021";"  327750"
"Katwijk";"2021";"  388991"
"Kerkrade";"2021";"  216618"
"Kerkwijk";"2021";""
"Kessel";"2021";""
"Kesteren";"2021";""
"Klundert";"2021";""
"Koggenland";"2021";"  388633"
"Kollumerland en Nieuwkruisland";"2021";""
"Korendijk";"2021";""
"Krimpen aan den IJssel";"2021";"  373643"
"Krimpenerwaard";"2021";"  386435"
"Laarbeek";"2021";"  419784"
"Landerd";"2021";"  433780"
"Land van Cuijk";"2021";""
"Landgraaf";"2021";"  257710"
"Landsmeer";"2021";"  593680"
"Langbroek";"2021";""
"Langedijk";"2021";"  370206"
"Lansingerland";"2021";"  468193"
"Laren (NH.)";"2021";"  989352"
"Leek";"2021";""
"Leende";"2021";""
"Leerdam";"2021";""
"Leersum";"2021";""
"Leeuwarden";"2021";"  262188"
"Leeuwarderadeel";"2021";""
"Leiden";"2021";"  405468"
"Leiderdorp";"2021";"  416150"
"Leidschendam";"2021";""
"Leidschendam-Voorburg";"2021";"  432286"
"Lelystad";"2021";"  332187"
"Lemsterland";"2021";""
"Leudal";"2021";"  324308"
"Leusden";"2021";"  434561"
"Lichtenvoorde";"2021";""
"Liemeer";"2021";""
"Liempde";"2021";""
"Lienden";"2021";""
"De Lier";"2021";""
"Lieshout";"2021";""
"Liesveld";"2021";""
"Limmen";"2021";""
"Lingewaal";"2021";""
"Lingewaard";"2021";"  390277"
"Lisse";"2021";"  430324"
"Lith";"2021";""
"Littenseradiel";"2021";""
"Lochem";"2021";"  437774"
"Loenen";"2021";""
"Loon op Zand";"2021";"  362501"
"Loosdrecht";"2021";""
"Lopik";"2021";"  397772"
"Loppersum";"2021";""
"Losser";"2021";"  327243"
"Luyksgestel";"2021";""
"Maarheeze";"2021";""
"Maarn";"2021";""
"Maarssen";"2021";""
"Maartensdijk";"2021";""
"Maasbracht";"2021";""
"Maasbree";"2021";""
"Maasdonk";"2021";""
"Maasdriel";"2021";"  405150"
"Maasgouw";"2021";"  304396"
"Maashorst";"2021";""
"Maasland";"2021";""
"Maassluis";"2021";"  329919"
"Maastricht";"2021";"  353620"
"Made";"2021";""
"Made en Drimmelen";"2021";""
"Margraten";"2021";""
"Mariekerke";"2021";""
"Markelo";"2021";""
"De Marne";"2021";""
"Marum";"2021";""
"Maurik";"2021";""
"Medemblik";"2021";"  375268"
"Meerlo-Wanssum";"2021";""
"Meerssen";"2021";"  355909"
"Meierijstad";"2021";"  391072"
"Meijel";"2021";""
"Menaldumadeel";"2021";""
"Menameradiel";"2021";""
"Menterwolde";"2021";""
"Meppel";"2021";"  325843"
"Middelburg (Z.)";"2021";"  321374"
"Middelharnis";"2021";""
"Midden-Delfland";"2021";"  428303"
"Midden-Drenthe";"2021";"  349627"
"Midden-Groningen";"2021";"  282704"
"Middenschouwen";"2021";""
"Middenveld";"2021";""
"Mierlo";"2021";""
"Mill en Sint Hubert";"2021";"  411139"
"Millingen aan de Rijn";"2021";""
"Moerdijk";"2021";"  343613"
"Moergestel";"2021";""
"Molenlanden";"2021";"  373551"
"Molenwaard";"2021";""
"Monster";"2021";""
"Montferland";"2021";"  337596"
"Montfoort";"2021";"  422345"
"Mook en Middelaar";"2021";"  452951"
"Moordrecht";"2021";""
"Muiden";"2021";""
"Naaldwijk";"2021";""
"Naarden";"2021";""
"Neder-Betuwe";"2021";"  397599"
"Nederhorst den Berg";"2021";""
"Nederlek";"2021";""
"Nederweert";"2021";"  383234"
"Neede";"2021";""
"Neerijnen";"2021";""
"Niedorp";"2021";""
"Nieuwegein";"2021";"  362749"
"Nieuwerkerk aan den IJssel";"2021";""
"Nieuw-Ginneken";"2021";""
"Nieuwkoop";"2021";"  454250"
"Nieuw-Lekkerland";"2021";""
"Nieuwleusen";"2021";""
"Nieuw-Vossemeer";"2021";""
"Nijefurd";"2021";""
"Nijeveen";"2021";""
"Nijkerk";"2021";"  426642"
"Nijmegen";"2021";"  364849"
"Nissewaard";"2021";"  296986"
"Noardeast-Fryslân";"2021";"  253816"
"Noord-Beveland";"2021";"  326869"
"Noordenveld";"2021";"  355463"
"Noorder-Koggenland";"2021";""
"Noordoostpolder";"2021";"  286031"
"Noordwijk";"2021";"  528958"
"Noordwijkerhout";"2021";""
"Nootdorp";"2021";""
"Norg";"2021";""
"Nuenen, Gerwen en Nederwetten";"2021";"  470174"
"Nunspeet";"2021";"  424288"
"Nuth";"2021";""
"Obdam";"2021";""
"Odoorn";"2021";""
"Oegstgeest";"2021";"  575022"
"Oirschot";"2021";"  463075"
"Oisterwijk";"2021";"  540545"
"Oldambt";"2021";"  260104"
"Oldebroek";"2021";"  349353"
"Oldenzaal";"2021";"  325273"
"Olst";"2021";""
"Olst-Wijhe";"2021";"  351981"
"Ommen";"2021";"  378619"
"Onderbanken";"2021";""
"Oost Gelre";"2021";"  313307"
"Oost-, West- en Middelbeers";"2021";""
"Oostburg";"2021";""
"Oosterhesselen";"2021";""
"Oosterhout";"2021";"  372134"
"Oostflakkee";"2021";""
"Ooststellingwerf";"2021";"  319631"
"Oostzaan";"2021";"  482845"
"Ootmarsum";"2021";""
"Openbaar Lichaam Z.IJ.P.";"2021";""
"Opmeer";"2021";"  381818"
"Opsterland";"2021";"  320331"
"Oss";"2021";"  353733"
"Ossendrecht";"2021";""
"Oud en Nieuw Gastel";"2021";""
"Oud-Beijerland";"2021";""
"Oude IJsselstreek";"2021";"  309702"
"Oudenbosch";"2021";""
"Ouder-Amstel";"2021";"  554471"
"Ouderkerk";"2021";""
"Oudewater";"2021";"  426664"
"Overbetuwe";"2021";"  422478"
"Papendrecht";"2021";"  318706"
"Peel en Maas";"2021";"  325223"
"Peize";"2021";""
"Pekela";"2021";"  200451"
"Pijnacker";"2021";""
"Pijnacker-Nootdorp";"2021";"  467075"
"Prinsenbeek";"2021";""
"Purmerend";"2021";"  362562"
"Putte";"2021";""
"Putten";"2021";"  470141"
"Raalte";"2021";"  347155"
"Raamsdonk";"2021";""
"Ravenstein";"2021";""
"Reeuwijk";"2021";""
"Reiderland";"2021";""
"Reimerswaal";"2021";"  285426"
"Renkum";"2021";"  478445"
"Renswoude";"2021";"  426882"
"Reusel";"2021";""
"Reusel-De Mierden";"2021";"  402421"
"Rheden";"2021";"  367012"
"Rhenen";"2021";"  447720"
"Ridderkerk";"2021";"  310977"
"Riethoven";"2021";""
"Rijnsburg";"2021";""
"Rijnwaarden";"2021";""
"Rijnwoude";"2021";""
"Rijsbergen";"2021";""
"Rijssen";"2021";""
"Rijssen-Holten";"2021";"  342796"
"Rijswijk (ZH.)";"2021";"  355881"
"Roden";"2021";""
"Roerdalen";"2021";"  306118"
"Roermond";"2021";"  318961"
"Roggel en Neer";"2021";""
"Rolde";"2021";""
"De Ronde Venen";"2021";"  516798"
"Roosendaal";"2021";"  315735"
"Roosendaal en Nispen";"2021";""
"Rosmalen";"2021";""
"Rossum";"2021";""
"Rotterdam";"2021";"  364018"
"Rozenburg";"2021";""
"Rozendaal";"2021";"  796088"
"Rucphen";"2021";"  379681"
"Ruinen";"2021";""
"Ruinerwold";"2021";""
"Ruurlo";"2021";""
"Sas van Gent";"2021";""
"Sassenheim";"2021";""
"Schagen";"2021";"  341486"
"Scheemda";"2021";""
"Schermer";"2021";""
"Scherpenzeel";"2021";"  424213"
"Schiedam";"2021";"  279445"
"Schiermonnikoog";"2021";"  430227"
"Schijndel";"2021";""
"Schinnen";"2021";""
"Schipluiden";"2021";""
"Schoonebeek";"2021";""
"Schoonhoven";"2021";""
"Schoorl";"2021";""
"Schouwen-Duiveland";"2021";"  371398"
"Sevenum";"2021";""
"Simpelveld";"2021";"  288495"
"Sint Anthonis";"2021";"  410639"
"Sint-Michielsgestel";"2021";"  491511"
"Sint-Oedenrode";"2021";""
"Sittard";"2021";""
"Sittard-Geleen";"2021";"  266384"
"Skarsterlân";"2021";""
"Sleen";"2021";""
"Sliedrecht";"2021";"  303720"
"Slochteren";"2021";""
"Sluis";"2021";"  294425"
"Sluis-Aardenburg";"2021";""
"Smallingerland";"2021";"  282933"
"Smilde";"2021";""
"Sneek";"2021";""
"Soest";"2021";"  506533"
"Someren";"2021";"  378186"
"Son en Breugel";"2021";"  477112"
"Spijkenisse";"2021";""
"Sprang-Capelle";"2021";""
"St. Anthonis";"2021";""
"Stad Delden";"2021";""
"Stadskanaal";"2021";"  250693"
"Standdaarbuiten";"2021";""
"Staphorst";"2021";"  337504"
"Stede Broec";"2021";"  327041"
"Steenbergen";"2021";"  325057"
"Steenderen";"2021";""
"Steenwijk";"2021";""
"Steenwijkerland";"2021";"  333678"
"Stein (L.)";"2021";"  279959"
"Stichtse Vecht";"2021";"  495126"
"Stramproy";"2021";""
"Strijen";"2021";""
"Súdwest-Fryslân";"2021";"  297003"
"Susteren";"2021";""
"Swalmen";"2021";""
"Tegelen";"2021";""
"Terheijden";"2021";""
"Terneuzen";"2021";"  252263"
"Terschelling";"2021";"  418149"
"Teteringen";"2021";""
"Texel";"2021";"  377342"
"Teylingen";"2021";"  488709"
"Tholen";"2021";"  264939"
"Thorn";"2021";""
"Tiel";"2021";"  323105"
"Tilburg";"2021";"  342612"
"Tubbergen";"2021";"  372400"
"Twenterand";"2021";"  309662"
"Tynaarlo";"2021";"  411599"
"Tytsjerksteradiel";"2021";"  295332"
"Ubbergen";"2021";""
"Uden";"2021";"  372898"
"Udenhout";"2021";""
"Uitgeest";"2021";"  413903"
"Uithoorn";"2021";"  435155"
"Urk";"2021";"  296183"
"Utrecht (gemeente)";"2021";"  469949"
"Utrechtse Heuvelrug";"2021";"  562887"
"Vaals";"2021";"  284157"
"Valburg";"2021";""
"Valkenburg (ZH.)";"2021";""
"Valkenburg aan de Geul";"2021";"  371075"
"Valkenisse";"2021";""
"Valkenswaard";"2021";"  403714"
"Veendam";"2021";"  231374"
"Veenendaal";"2021";"  367626"
"Veere";"2021";"  373049"
"Veghel";"2021";""
"Veldhoven";"2021";"  435660"
"Velsen";"2021";"  406030"
"Venhuizen";"2021";""
"Venlo";"2021";"  304030"
"Venray";"2021";"  303827"
"Vessem, Wintelre en Knegsel";"2021";""
"Vianen";"2021";""
"Vierlingsbeek";"2021";""
"Vijfheerenlanden";"2021";"  385814"
"Vlaardingen";"2021";"  301858"
"Vlagtwedde";"2021";""
"Vledder";"2021";""
"Vleuten-De Meern";"2021";""
"Vlieland";"2021";"  431250"
"Vlijmen";"2021";""
"Vlissingen";"2021";"  247768"
"Vlist";"2021";""
"Voerendaal";"2021";"  319744"
"Voorburg";"2021";""
"Voorhout";"2021";""
"Voorne aan Zee";"2021";""
"Voorschoten";"2021";"  512475"
"Voorst";"2021";"  410863"
"Vorden";"2021";""
"Vries";"2021";""
"Vriezenveen";"2021";""
"Vught";"2021";"  555788"
"Waadhoeke";"2021";"  247730"
"Waalre";"2021";"  563089"
"Waalwijk";"2021";"  364015"
"Waddinxveen";"2021";"  358529"
"Wageningen";"2021";"  403316"
"Warmond";"2021";""
"Warnsveld";"2021";""
"Waspik";"2021";""
"Wassenaar";"2021";"  910810"
"Wateringen";"2021";""
"Waterland";"2021";"  498206"
"Weerselo";"2021";""
"Weert";"2021";"  330617"
"Weesp";"2021";"  434761"
"Wehl";"2021";""
"Werkendam";"2021";""
"Wervershoof";"2021";""
"West Betuwe";"2021";"  426523"
"West Maas en Waal";"2021";"  401160"
"Westerbork";"2021";""
"Westerhoven";"2021";""
"Wester-Koggenland";"2021";""
"Westerkwartier";"2021";"  303468"
"Westerschouwen";"2021";""
"Westerveld";"2021";"  386678"
"Westervoort";"2021";"  320036"
"Westerwolde";"2021";"  288183"
"Westkapelle";"2021";""
"Westland";"2021";"  418802"
"Weststellingwerf";"2021";"  318872"
"Westvoorne";"2021";"  595974"
"Wierden";"2021";"  376444"
"Wieringen";"2021";""
"Wieringermeer";"2021";""
"Wijchen";"2021";"  382330"
"Wijdemeren";"2021";"  608912"
"Wijhe";"2021";""
"De Wijk";"2021";""
"Wijk bij Duurstede";"2021";"  422915"
"Willemstad";"2021";""
"Winschoten";"2021";""
"Winsum";"2021";""
"Winterswijk";"2021";"  291164"
"Wisch";"2021";""
"Wittem";"2021";""
"Woensdrecht";"2021";"  332957"
"Woerden";"2021";"  419836"
"Wognum";"2021";""
"De Wolden";"2021";"  390775"
"Wormerland";"2021";"  411677"
"Woudenberg";"2021";"  434011"
"Woudrichem";"2021";""
"Wouw";"2021";""
"Wûnseradiel";"2021";""
"Wymbritseradiel";"2021";""
"Zaanstad";"2021";"  355725"
"Zaltbommel";"2021";"  403431"
"Zandvoort";"2021";"  529740"
"Zederik";"2021";""
"Zeevang";"2021";""
"Zeewolde";"2021";"  323973"
"Zeist";"2021";"  571853"
"Zelhem";"2021";""
"Zevenaar";"2021";"  305045"
"Zevenbergen";"2021";""
"Zevenhuizen-Moerkapelle";"2021";""
"Zierikzee";"2021";""
"Zijpe";"2021";""
"Zoetermeer";"2021";"  351459"
"Zoeterwoude";"2021";"  441652"
"Zuidhorn";"2021";""
"Zuidlaren";"2021";""
"Zuidplas";"2021";"  429943"
"Zuidwolde";"2021";""
"Zundert";"2021";"  381275"
"Zutphen";"2021";"  324899"
"Zwartewaterland";"2021";"  291968"
"Zwartsluis";"2021";""
"Zweeloo";"2021";""
"Zwijndrecht";"2021";"  306639"
"Zwolle";"2021";"  363081"
