"Regio's";"Woningtype";"Perioden";"Beginstand woningvoorraad (aantal)"
"Alkmaar";"Tussenwoning";"2021";"   20208"
"Alkmaar";"Onbekend woningtype eengezinswoning";"2021";"     144"
"Almelo";"Totaal woningen";"2021";"   33827"
"Almelo";"Meergezinswoningen totaal";"2021";"    9717"
"Almelo";"Eengezinswoningen totaal";"2021";"   24110"
"Almelo";"Vrijstaande woning";"2021";"    4014"
"Almelo";"2-onder-1-kapwoning";"2021";"    3749"
"Almelo";"Hoekwoning";"2021";"    5644"
"Almelo";"Tussenwoning";"2021";"   10693"
"Almelo";"Onbekend woningtype eengezinswoning";"2021";"      10"
"Almere";"Totaal woningen";"2021";"   87259"
"Almere";"Meergezinswoningen totaal";"2021";"   24507"
"Almere";"Eengezinswoningen totaal";"2021";"   62752"
"Almere";"Vrijstaande woning";"2021";"    5416"
"Almere";"2-onder-1-kapwoning";"2021";"    2673"
"Almere";"Hoekwoning";"2021";"   11946"
"Almere";"Tussenwoning";"2021";"   42688"
"Almere";"Onbekend woningtype eengezinswoning";"2021";"      29"
"Alphen aan den Rijn";"Totaal woningen";"2021";"   48893"
"Alphen aan den Rijn";"Meergezinswoningen totaal";"2021";"   17061"
"Alphen aan den Rijn";"Eengezinswoningen totaal";"2021";"   31832"
"Alphen aan den Rijn";"Vrijstaande woning";"2021";"    3791"
"Alphen aan den Rijn";"2-onder-1-kapwoning";"2021";"    2690"
"Alphen aan den Rijn";"Hoekwoning";"2021";"    6866"
"Alphen aan den Rijn";"Tussenwoning";"2021";"   18480"
"Alphen aan den Rijn";"Onbekend woningtype eengezinswoning";"2021";"       5"
"Alphen-Chaam";"Totaal woningen";"2021";"    4432"
"Alphen-Chaam";"Meergezinswoningen totaal";"2021";"     496"
"Alphen-Chaam";"Eengezinswoningen totaal";"2021";"    3936"
"Alphen-Chaam";"Vrijstaande woning";"2021";"    2044"
"Alphen-Chaam";"2-onder-1-kapwoning";"2021";"     843"
"Alphen-Chaam";"Hoekwoning";"2021";"     457"
"Alphen-Chaam";"Tussenwoning";"2021";"     591"
"Alphen-Chaam";"Onbekend woningtype eengezinswoning";"2021";"       1"
"Altena";"Totaal woningen";"2021";"   22587"
"Altena";"Meergezinswoningen totaal";"2021";"    2618"
"Altena";"Eengezinswoningen totaal";"2021";"   19969"
"Altena";"Vrijstaande woning";"2021";"    6575"
"Altena";"2-onder-1-kapwoning";"2021";"    3755"
"Altena";"Hoekwoning";"2021";"    3853"
"Altena";"Tussenwoning";"2021";"    5770"
"Altena";"Onbekend woningtype eengezinswoning";"2021";"      16"
"Ameland";"Totaal woningen";"2021";"    1753"
"Ameland";"Meergezinswoningen totaal";"2021";"     355"
"Ameland";"Eengezinswoningen totaal";"2021";"    1398"
"Ameland";"Vrijstaande woning";"2021";"     848"
"Ameland";"2-onder-1-kapwoning";"2021";"     435"
"Ameland";"Hoekwoning";"2021";"      55"
"Ameland";"Tussenwoning";"2021";"      59"
"Ameland";"Onbekend woningtype eengezinswoning";"2021";"       1"
"Amersfoort";"Totaal woningen";"2021";"   68809"
"Amersfoort";"Meergezinswoningen totaal";"2021";"   25452"
"Amersfoort";"Eengezinswoningen totaal";"2021";"   43357"
"Amersfoort";"Vrijstaande woning";"2021";"    2580"
"Amersfoort";"2-onder-1-kapwoning";"2021";"    4262"
"Amersfoort";"Hoekwoning";"2021";"    9626"
"Amersfoort";"Tussenwoning";"2021";"   26881"
"Amersfoort";"Onbekend woningtype eengezinswoning";"2021";"       8"
"Amstelveen";"Totaal woningen";"2021";"   42251"
"Amstelveen";"Meergezinswoningen totaal";"2021";"   21626"
"Amstelveen";"Eengezinswoningen totaal";"2021";"   20625"
"Amstelveen";"Vrijstaande woning";"2021";"    1201"
"Amstelveen";"2-onder-1-kapwoning";"2021";"     838"
"Amstelveen";"Hoekwoning";"2021";"    4715"
"Amstelveen";"Tussenwoning";"2021";"   13831"
"Amstelveen";"Onbekend woningtype eengezinswoning";"2021";"      40"
"Amsterdam";"Totaal woningen";"2021";"  449989"
"Amsterdam";"Meergezinswoningen totaal";"2021";"  395609"
"Amsterdam";"Eengezinswoningen totaal";"2021";"   54380"
"Amsterdam";"Vrijstaande woning";"2021";"    2497"
"Amsterdam";"2-onder-1-kapwoning";"2021";"    2395"
"Amsterdam";"Hoekwoning";"2021";"    9413"
"Amsterdam";"Tussenwoning";"2021";"   40039"
"Amsterdam";"Onbekend woningtype eengezinswoning";"2021";"      36"
"Apeldoorn";"Totaal woningen";"2021";"   74184"
"Apeldoorn";"Meergezinswoningen totaal";"2021";"   21559"
"Apeldoorn";"Eengezinswoningen totaal";"2021";"   52625"
"Apeldoorn";"Vrijstaande woning";"2021";"   12819"
"Apeldoorn";"2-onder-1-kapwoning";"2021";"    7955"
"Apeldoorn";"Hoekwoning";"2021";"    9887"
"Apeldoorn";"Tussenwoning";"2021";"   21952"
"Apeldoorn";"Onbekend woningtype eengezinswoning";"2021";"      12"
"Arnhem";"Totaal woningen";"2021";"   77839"
"Arnhem";"Meergezinswoningen totaal";"2021";"   37747"
"Arnhem";"Eengezinswoningen totaal";"2021";"   40092"
"Arnhem";"Vrijstaande woning";"2021";"    2187"
"Arnhem";"2-onder-1-kapwoning";"2021";"    3589"
"Arnhem";"Hoekwoning";"2021";"    9398"
"Arnhem";"Tussenwoning";"2021";"   24898"
"Arnhem";"Onbekend woningtype eengezinswoning";"2021";"      20"
"Assen";"Totaal woningen";"2021";"   32538"
"Assen";"Meergezinswoningen totaal";"2021";"    9572"
"Assen";"Eengezinswoningen totaal";"2021";"   22966"
"Assen";"Vrijstaande woning";"2021";"    3283"
"Assen";"2-onder-1-kapwoning";"2021";"    4328"
"Assen";"Hoekwoning";"2021";"    4882"
"Assen";"Tussenwoning";"2021";"   10471"
"Assen";"Onbekend woningtype eengezinswoning";"2021";"       2"
"Asten";"Totaal woningen";"2021";"    7069"
"Asten";"Meergezinswoningen totaal";"2021";"    1024"
"Asten";"Eengezinswoningen totaal";"2021";"    6045"
"Asten";"Vrijstaande woning";"2021";"    2001"
"Asten";"2-onder-1-kapwoning";"2021";"     980"
"Asten";"Hoekwoning";"2021";"    1130"
"Asten";"Tussenwoning";"2021";"    1934"
"Asten";"Onbekend woningtype eengezinswoning";"2021";"       0"
"Baarle-Nassau";"Totaal woningen";"2021";"    2916"
"Baarle-Nassau";"Meergezinswoningen totaal";"2021";"     395"
"Baarle-Nassau";"Eengezinswoningen totaal";"2021";"    2521"
"Baarle-Nassau";"Vrijstaande woning";"2021";"    1185"
"Baarle-Nassau";"2-onder-1-kapwoning";"2021";"     384"
"Baarle-Nassau";"Hoekwoning";"2021";"     361"
"Baarle-Nassau";"Tussenwoning";"2021";"     591"
"Baarle-Nassau";"Onbekend woningtype eengezinswoning";"2021";"       0"
"Baarn";"Totaal woningen";"2021";"   11700"
"Baarn";"Meergezinswoningen totaal";"2021";"    3928"
"Baarn";"Eengezinswoningen totaal";"2021";"    7772"
"Baarn";"Vrijstaande woning";"2021";"    1162"
"Baarn";"2-onder-1-kapwoning";"2021";"    1718"
"Baarn";"Hoekwoning";"2021";"    1745"
"Baarn";"Tussenwoning";"2021";"    3132"
"Baarn";"Onbekend woningtype eengezinswoning";"2021";"      15"
"Barendrecht";"Totaal woningen";"2021";"   19433"
"Barendrecht";"Meergezinswoningen totaal";"2021";"    5032"
"Barendrecht";"Eengezinswoningen totaal";"2021";"   14401"
"Barendrecht";"Vrijstaande woning";"2021";"    1049"
"Barendrecht";"2-onder-1-kapwoning";"2021";"    1292"
"Barendrecht";"Hoekwoning";"2021";"    3388"
"Barendrecht";"Tussenwoning";"2021";"    8671"
"Barendrecht";"Onbekend woningtype eengezinswoning";"2021";"       1"
"Barneveld";"Totaal woningen";"2021";"   23146"
"Barneveld";"Meergezinswoningen totaal";"2021";"    5014"
"Barneveld";"Eengezinswoningen totaal";"2021";"   18132"
"Barneveld";"Vrijstaande woning";"2021";"    4804"
"Barneveld";"2-onder-1-kapwoning";"2021";"    2528"
"Barneveld";"Hoekwoning";"2021";"    3563"
"Barneveld";"Tussenwoning";"2021";"    7232"
"Barneveld";"Onbekend woningtype eengezinswoning";"2021";"       5"
"Beek (L.)";"Totaal woningen";"2021";"    7496"
"Beek (L.)";"Meergezinswoningen totaal";"2021";"    1810"
"Beek (L.)";"Eengezinswoningen totaal";"2021";"    5686"
"Beek (L.)";"Vrijstaande woning";"2021";"    1341"
"Beek (L.)";"2-onder-1-kapwoning";"2021";"    1697"
"Beek (L.)";"Hoekwoning";"2021";"    1028"
"Beek (L.)";"Tussenwoning";"2021";"    1619"
"Beek (L.)";"Onbekend woningtype eengezinswoning";"2021";"       1"
"Beekdaelen";"Totaal woningen";"2021";"   16711"
"Beekdaelen";"Meergezinswoningen totaal";"2021";"    2537"
"Beekdaelen";"Eengezinswoningen totaal";"2021";"   14174"
"Beekdaelen";"Vrijstaande woning";"2021";"    4067"
"Beekdaelen";"2-onder-1-kapwoning";"2021";"    4099"
"Beekdaelen";"Hoekwoning";"2021";"    2436"
"Beekdaelen";"Tussenwoning";"2021";"    3564"
"Beekdaelen";"Onbekend woningtype eengezinswoning";"2021";"       8"
"Beemster";"Totaal woningen";"2021";"    4051"
"Beemster";"Meergezinswoningen totaal";"2021";"     424"
"Beemster";"Eengezinswoningen totaal";"2021";"    3627"
"Beemster";"Vrijstaande woning";"2021";"    1467"
"Beemster";"2-onder-1-kapwoning";"2021";"     550"
"Beemster";"Hoekwoning";"2021";"     594"
"Beemster";"Tussenwoning";"2021";"    1013"
"Beemster";"Onbekend woningtype eengezinswoning";"2021";"       3"
"Beesel";"Totaal woningen";"2021";"    6040"
"Beesel";"Meergezinswoningen totaal";"2021";"     877"
"Beesel";"Eengezinswoningen totaal";"2021";"    5163"
"Beesel";"Vrijstaande woning";"2021";"    1344"
"Beesel";"2-onder-1-kapwoning";"2021";"    1246"
"Beesel";"Hoekwoning";"2021";"     908"
"Beesel";"Tussenwoning";"2021";"    1664"
"Beesel";"Onbekend woningtype eengezinswoning";"2021";"       1"
"Berg en Dal";"Totaal woningen";"2021";"   15854"
"Berg en Dal";"Meergezinswoningen totaal";"2021";"    3113"
"Berg en Dal";"Eengezinswoningen totaal";"2021";"   12741"
"Berg en Dal";"Vrijstaande woning";"2021";"    3357"
"Berg en Dal";"2-onder-1-kapwoning";"2021";"    2648"
"Berg en Dal";"Hoekwoning";"2021";"    2745"
"Berg en Dal";"Tussenwoning";"2021";"    3990"
"Berg en Dal";"Onbekend woningtype eengezinswoning";"2021";"       1"
"Bergeijk";"Totaal woningen";"2021";"    8027"
"Bergeijk";"Meergezinswoningen totaal";"2021";"    1075"
"Bergeijk";"Eengezinswoningen totaal";"2021";"    6952"
"Bergeijk";"Vrijstaande woning";"2021";"    3193"
"Bergeijk";"2-onder-1-kapwoning";"2021";"    1415"
"Bergeijk";"Hoekwoning";"2021";"     989"
"Bergeijk";"Tussenwoning";"2021";"    1355"
"Bergeijk";"Onbekend woningtype eengezinswoning";"2021";"       0"
"Bergen (L.)";"Totaal woningen";"2021";"    5793"
"Bergen (L.)";"Meergezinswoningen totaal";"2021";"     402"
"Bergen (L.)";"Eengezinswoningen totaal";"2021";"    5391"
"Bergen (L.)";"Vrijstaande woning";"2021";"    2180"
"Bergen (L.)";"2-onder-1-kapwoning";"2021";"    1746"
"Bergen (L.)";"Hoekwoning";"2021";"     613"
"Bergen (L.)";"Tussenwoning";"2021";"     852"
"Bergen (L.)";"Onbekend woningtype eengezinswoning";"2021";"       0"
"Bergen (NH.)";"Totaal woningen";"2021";"   15353"
"Bergen (NH.)";"Meergezinswoningen totaal";"2021";"    4424"
"Bergen (NH.)";"Eengezinswoningen totaal";"2021";"   10929"
"Bergen (NH.)";"Vrijstaande woning";"2021";"    3939"
"Bergen (NH.)";"2-onder-1-kapwoning";"2021";"    1484"
"Bergen (NH.)";"Hoekwoning";"2021";"    1881"
"Bergen (NH.)";"Tussenwoning";"2021";"    3617"
"Bergen (NH.)";"Onbekend woningtype eengezinswoning";"2021";"       8"
"Bergen op Zoom";"Totaal woningen";"2021";"   30921"
"Bergen op Zoom";"Meergezinswoningen totaal";"2021";"    9336"
"Bergen op Zoom";"Eengezinswoningen totaal";"2021";"   21585"
"Bergen op Zoom";"Vrijstaande woning";"2021";"    3198"
"Bergen op Zoom";"2-onder-1-kapwoning";"2021";"    1964"
"Bergen op Zoom";"Hoekwoning";"2021";"    4594"
"Bergen op Zoom";"Tussenwoning";"2021";"   11823"
"Bergen op Zoom";"Onbekend woningtype eengezinswoning";"2021";"       6"
"Berkelland";"Totaal woningen";"2021";"   19594"
"Berkelland";"Meergezinswoningen totaal";"2021";"    3664"
"Berkelland";"Eengezinswoningen totaal";"2021";"   15930"
"Berkelland";"Vrijstaande woning";"2021";"    5824"
"Berkelland";"2-onder-1-kapwoning";"2021";"    3537"
"Berkelland";"Hoekwoning";"2021";"    2789"
"Berkelland";"Tussenwoning";"2021";"    3780"
"Berkelland";"Onbekend woningtype eengezinswoning";"2021";"       0"
"Bernheze";"Totaal woningen";"2021";"   12798"
"Bernheze";"Meergezinswoningen totaal";"2021";"    1511"
"Bernheze";"Eengezinswoningen totaal";"2021";"   11287"
"Bernheze";"Vrijstaande woning";"2021";"    4243"
"Bernheze";"2-onder-1-kapwoning";"2021";"    2361"
"Bernheze";"Hoekwoning";"2021";"    1737"
"Bernheze";"Tussenwoning";"2021";"    2945"
"Bernheze";"Onbekend woningtype eengezinswoning";"2021";"       1"
"Best";"Totaal woningen";"2021";"   12977"
"Best";"Meergezinswoningen totaal";"2021";"    2587"
"Best";"Eengezinswoningen totaal";"2021";"   10390"
"Best";"Vrijstaande woning";"2021";"    1697"
"Best";"2-onder-1-kapwoning";"2021";"    1151"
"Best";"Hoekwoning";"2021";"    2274"
"Best";"Tussenwoning";"2021";"    5268"
"Best";"Onbekend woningtype eengezinswoning";"2021";"       0"
"Beuningen";"Totaal woningen";"2021";"   11262"
"Beuningen";"Meergezinswoningen totaal";"2021";"    1724"
"Beuningen";"Eengezinswoningen totaal";"2021";"    9538"
"Beuningen";"Vrijstaande woning";"2021";"    2170"
"Beuningen";"2-onder-1-kapwoning";"2021";"    1578"
"Beuningen";"Hoekwoning";"2021";"    2099"
"Beuningen";"Tussenwoning";"2021";"    3690"
"Beuningen";"Onbekend woningtype eengezinswoning";"2021";"       1"
"Beverwijk";"Totaal woningen";"2021";"   19511"
"Beverwijk";"Meergezinswoningen totaal";"2021";"    8728"
"Beverwijk";"Eengezinswoningen totaal";"2021";"   10783"
"Beverwijk";"Vrijstaande woning";"2021";"     938"
"Beverwijk";"2-onder-1-kapwoning";"2021";"    1454"
"Beverwijk";"Hoekwoning";"2021";"    2327"
"Beverwijk";"Tussenwoning";"2021";"    6055"
"Beverwijk";"Onbekend woningtype eengezinswoning";"2021";"       9"
"De Bilt";"Totaal woningen";"2021";"   19738"
"De Bilt";"Meergezinswoningen totaal";"2021";"    6960"
"De Bilt";"Eengezinswoningen totaal";"2021";"   12778"
"De Bilt";"Vrijstaande woning";"2021";"    2544"
"De Bilt";"2-onder-1-kapwoning";"2021";"    2557"
"De Bilt";"Hoekwoning";"2021";"    2534"
"De Bilt";"Tussenwoning";"2021";"    5140"
"De Bilt";"Onbekend woningtype eengezinswoning";"2021";"       3"
"Bladel";"Totaal woningen";"2021";"    8841"
"Bladel";"Meergezinswoningen totaal";"2021";"    1415"
"Bladel";"Eengezinswoningen totaal";"2021";"    7426"
"Bladel";"Vrijstaande woning";"2021";"    2616"
"Bladel";"2-onder-1-kapwoning";"2021";"    1906"
"Bladel";"Hoekwoning";"2021";"    1146"
"Bladel";"Tussenwoning";"2021";"    1753"
"Bladel";"Onbekend woningtype eengezinswoning";"2021";"       5"
"Blaricum";"Totaal woningen";"2021";"    5175"
"Blaricum";"Meergezinswoningen totaal";"2021";"     688"
"Blaricum";"Eengezinswoningen totaal";"2021";"    4487"
"Blaricum";"Vrijstaande woning";"2021";"    1247"
"Blaricum";"2-onder-1-kapwoning";"2021";"     940"
"Blaricum";"Hoekwoning";"2021";"     990"
"Blaricum";"Tussenwoning";"2021";"    1309"
"Blaricum";"Onbekend woningtype eengezinswoning";"2021";"       1"
"Bloemendaal";"Totaal woningen";"2021";"   10166"
"Bloemendaal";"Meergezinswoningen totaal";"2021";"    2776"
"Bloemendaal";"Eengezinswoningen totaal";"2021";"    7390"
"Bloemendaal";"Vrijstaande woning";"2021";"    1611"
"Bloemendaal";"2-onder-1-kapwoning";"2021";"    1493"
"Bloemendaal";"Hoekwoning";"2021";"    1704"
"Bloemendaal";"Tussenwoning";"2021";"    2578"
"Bloemendaal";"Onbekend woningtype eengezinswoning";"2021";"       4"
"Bodegraven-Reeuwijk";"Totaal woningen";"2021";"   14676"
"Bodegraven-Reeuwijk";"Meergezinswoningen totaal";"2021";"    2911"
"Bodegraven-Reeuwijk";"Eengezinswoningen totaal";"2021";"   11765"
"Bodegraven-Reeuwijk";"Vrijstaande woning";"2021";"    2298"
"Bodegraven-Reeuwijk";"2-onder-1-kapwoning";"2021";"    1237"
"Bodegraven-Reeuwijk";"Hoekwoning";"2021";"    2670"
"Bodegraven-Reeuwijk";"Tussenwoning";"2021";"    5557"
"Bodegraven-Reeuwijk";"Onbekend woningtype eengezinswoning";"2021";"       3"
"Boekel";"Totaal woningen";"2021";"    4397"
"Boekel";"Meergezinswoningen totaal";"2021";"     579"
"Boekel";"Eengezinswoningen totaal";"2021";"    3818"
"Boekel";"Vrijstaande woning";"2021";"    1738"
"Boekel";"2-onder-1-kapwoning";"2021";"    1105"
"Boekel";"Hoekwoning";"2021";"     386"
"Boekel";"Tussenwoning";"2021";"     584"
"Boekel";"Onbekend woningtype eengezinswoning";"2021";"       5"
"Borger-Odoorn";"Totaal woningen";"2021";"   11224"
"Borger-Odoorn";"Meergezinswoningen totaal";"2021";"     810"
"Borger-Odoorn";"Eengezinswoningen totaal";"2021";"   10414"
"Borger-Odoorn";"Vrijstaande woning";"2021";"    6023"
"Borger-Odoorn";"2-onder-1-kapwoning";"2021";"    2538"
"Borger-Odoorn";"Hoekwoning";"2021";"     805"
"Borger-Odoorn";"Tussenwoning";"2021";"    1048"
"Borger-Odoorn";"Onbekend woningtype eengezinswoning";"2021";"       0"
"Borne";"Totaal woningen";"2021";"   10105"
"Borne";"Meergezinswoningen totaal";"2021";"    1539"
"Borne";"Eengezinswoningen totaal";"2021";"    8566"
"Borne";"Vrijstaande woning";"2021";"    1752"
"Borne";"2-onder-1-kapwoning";"2021";"    2194"
"Borne";"Hoekwoning";"2021";"    1701"
"Borne";"Tussenwoning";"2021";"    2919"
"Borne";"Onbekend woningtype eengezinswoning";"2021";"       0"
"Borsele";"Totaal woningen";"2021";"    9850"
"Borsele";"Meergezinswoningen totaal";"2021";"     768"
"Borsele";"Eengezinswoningen totaal";"2021";"    9082"
"Borsele";"Vrijstaande woning";"2021";"    3791"
"Borsele";"2-onder-1-kapwoning";"2021";"    1667"
"Borsele";"Hoekwoning";"2021";"    1514"
"Borsele";"Tussenwoning";"2021";"    2108"
"Borsele";"Onbekend woningtype eengezinswoning";"2021";"       2"
"Boxmeer";"Totaal woningen";"2021";"   12740"
"Boxmeer";"Meergezinswoningen totaal";"2021";"    2129"
"Boxmeer";"Eengezinswoningen totaal";"2021";"   10611"
"Boxmeer";"Vrijstaande woning";"2021";"    4155"
"Boxmeer";"2-onder-1-kapwoning";"2021";"    2437"
"Boxmeer";"Hoekwoning";"2021";"    1489"
"Boxmeer";"Tussenwoning";"2021";"    2530"
"Boxmeer";"Onbekend woningtype eengezinswoning";"2021";"       0"
"Boxtel";"Totaal woningen";"2021";"   14379"
"Boxtel";"Meergezinswoningen totaal";"2021";"    3771"
"Boxtel";"Eengezinswoningen totaal";"2021";"   10608"
"Boxtel";"Vrijstaande woning";"2021";"    2331"
"Boxtel";"2-onder-1-kapwoning";"2021";"    1765"
"Boxtel";"Hoekwoning";"2021";"    2226"
"Boxtel";"Tussenwoning";"2021";"    4275"
"Boxtel";"Onbekend woningtype eengezinswoning";"2021";"      11"
"Breda";"Totaal woningen";"2021";"   85230"
"Breda";"Meergezinswoningen totaal";"2021";"   33679"
"Breda";"Eengezinswoningen totaal";"2021";"   51551"
"Breda";"Vrijstaande woning";"2021";"    6455"
"Breda";"2-onder-1-kapwoning";"2021";"    4203"
"Breda";"Hoekwoning";"2021";"   10735"
"Breda";"Tussenwoning";"2021";"   30089"
"Breda";"Onbekend woningtype eengezinswoning";"2021";"      69"
"Brielle";"Totaal woningen";"2021";"    8110"
"Brielle";"Meergezinswoningen totaal";"2021";"    1648"
"Brielle";"Eengezinswoningen totaal";"2021";"    6462"
"Brielle";"Vrijstaande woning";"2021";"     809"
"Brielle";"2-onder-1-kapwoning";"2021";"     357"
"Brielle";"Hoekwoning";"2021";"    1507"
"Brielle";"Tussenwoning";"2021";"    3788"
"Brielle";"Onbekend woningtype eengezinswoning";"2021";"       1"
"Bronckhorst";"Totaal woningen";"2021";"   16213"
"Bronckhorst";"Meergezinswoningen totaal";"2021";"    2578"
"Bronckhorst";"Eengezinswoningen totaal";"2021";"   13635"
"Bronckhorst";"Vrijstaande woning";"2021";"    5682"
"Bronckhorst";"2-onder-1-kapwoning";"2021";"    3602"
"Bronckhorst";"Hoekwoning";"2021";"    1791"
"Bronckhorst";"Tussenwoning";"2021";"    2558"
"Bronckhorst";"Onbekend woningtype eengezinswoning";"2021";"       2"
"Brummen";"Totaal woningen";"2021";"    9416"
"Brummen";"Meergezinswoningen totaal";"2021";"    1162"
"Brummen";"Eengezinswoningen totaal";"2021";"    8254"
"Brummen";"Vrijstaande woning";"2021";"    2245"
"Brummen";"2-onder-1-kapwoning";"2021";"    1593"
"Brummen";"Hoekwoning";"2021";"    1731"
"Brummen";"Tussenwoning";"2021";"    2684"
"Brummen";"Onbekend woningtype eengezinswoning";"2021";"       1"
"Brunssum";"Totaal woningen";"2021";"   14464"
"Brunssum";"Meergezinswoningen totaal";"2021";"    4449"
"Brunssum";"Eengezinswoningen totaal";"2021";"   10015"
"Brunssum";"Vrijstaande woning";"2021";"    1192"
"Brunssum";"2-onder-1-kapwoning";"2021";"    2072"
"Brunssum";"Hoekwoning";"2021";"    2477"
"Brunssum";"Tussenwoning";"2021";"    4274"
"Brunssum";"Onbekend woningtype eengezinswoning";"2021";"       0"
"Bunnik";"Totaal woningen";"2021";"    6484"
"Bunnik";"Meergezinswoningen totaal";"2021";"    1079"
"Bunnik";"Eengezinswoningen totaal";"2021";"    5405"
"Bunnik";"Vrijstaande woning";"2021";"     682"
"Bunnik";"2-onder-1-kapwoning";"2021";"     988"
"Bunnik";"Hoekwoning";"2021";"    1281"
"Bunnik";"Tussenwoning";"2021";"    2454"
"Bunnik";"Onbekend woningtype eengezinswoning";"2021";"       0"
"Bunschoten";"Totaal woningen";"2021";"    8550"
"Bunschoten";"Meergezinswoningen totaal";"2021";"    1804"
"Bunschoten";"Eengezinswoningen totaal";"2021";"    6746"
"Bunschoten";"Vrijstaande woning";"2021";"     685"
"Bunschoten";"2-onder-1-kapwoning";"2021";"     838"
"Bunschoten";"Hoekwoning";"2021";"    1662"
"Bunschoten";"Tussenwoning";"2021";"    3561"
"Bunschoten";"Onbekend woningtype eengezinswoning";"2021";"       0"
"Buren";"Totaal woningen";"2021";"   10933"
"Buren";"Meergezinswoningen totaal";"2021";"     833"
"Buren";"Eengezinswoningen totaal";"2021";"   10100"
"Buren";"Vrijstaande woning";"2021";"    4208"
"Buren";"2-onder-1-kapwoning";"2021";"    1828"
"Buren";"Hoekwoning";"2021";"    1737"
"Buren";"Tussenwoning";"2021";"    2327"
"Buren";"Onbekend woningtype eengezinswoning";"2021";"       0"
"Capelle aan den IJssel";"Totaal woningen";"2021";"   31556"
"Capelle aan den IJssel";"Meergezinswoningen totaal";"2021";"   17564"
"Capelle aan den IJssel";"Eengezinswoningen totaal";"2021";"   13992"
